year,realinc,income,educ,health,happy,class,prestg10,paeduc,age,sex,race,marital,polviews,trust,satfin,childs,wrkstat,region,natfare
2010.0,28490.0,12.0,16.0,3.0,2.0,2.0,51.0,12.0,80.0,1,2.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,
2010.0,62160.0,12.0,15.0,,2.0,3.0,70.0,16.0,60.0,1,1.0,1.0,6.0,1.0,2.0,1.0,5.0,1.0,
2010.0,119606.06532,12.0,16.0,,2.0,4.0,60.0,12.0,49.0,1,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,3.0
2010.0,34965.0,12.0,15.0,2.0,2.0,2.0,46.0,,22.0,0,1.0,5.0,1.0,1.0,2.0,,4.0,1.0,
2010.0,62160.0,12.0,20.0,,2.0,3.0,61.0,12.0,63.0,0,1.0,1.0,4.0,1.0,1.0,2.0,5.0,1.0,
2010.0,7122.5,,16.0,,1.0,2.0,50.0,,72.0,1,1.0,3.0,5.0,1.0,2.0,2.0,5.0,1.0,2.0
2010.0,51800.0,12.0,14.0,4.0,3.0,2.0,48.0,,42.0,0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0
2010.0,119606.06532,12.0,16.0,1.0,1.0,2.0,64.0,14.0,54.0,0,2.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,
2010.0,11007.5,11.0,13.0,,2.0,1.0,31.0,12.0,21.0,0,2.0,5.0,6.0,2.0,2.0,,2.0,1.0,
2010.0,16835.0,12.0,16.0,2.0,2.0,3.0,53.0,13.0,26.0,0,1.0,5.0,5.0,,3.0,,1.0,1.0,3.0
2010.0,34965.0,12.0,16.0,,1.0,3.0,39.0,12.0,31.0,1,1.0,5.0,4.0,2.0,2.0,,1.0,1.0,1.0
2010.0,1813.0,1.0,14.0,,1.0,2.0,22.0,6.0,41.0,0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,
2010.0,,,6.0,,1.0,3.0,32.0,,84.0,0,1.0,2.0,,2.0,2.0,4.0,5.0,1.0,2.0
2010.0,,,12.0,2.0,2.0,2.0,,,19.0,1,3.0,5.0,4.0,2.0,3.0,,6.0,1.0,3.0
2010.0,,,16.0,2.0,1.0,3.0,45.0,12.0,34.0,1,1.0,1.0,4.0,,2.0,1.0,1.0,1.0,
2010.0,51800.0,12.0,16.0,1.0,1.0,2.0,53.0,16.0,44.0,0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,3.0
2010.0,28490.0,12.0,12.0,,2.0,2.0,24.0,12.0,45.0,1,1.0,1.0,5.0,2.0,3.0,1.0,,1.0,
2010.0,259.0,1.0,,,1.0,1.0,43.0,12.0,28.0,1,1.0,5.0,4.0,2.0,3.0,2.0,4.0,1.0,
2010.0,8417.5,10.0,12.0,,2.0,2.0,45.0,,46.0,1,1.0,1.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0
2010.0,34965.0,12.0,13.0,,3.0,2.0,46.0,,50.0,0,1.0,3.0,2.0,2.0,3.0,2.0,7.0,1.0,
2010.0,72520.0,12.0,13.0,1.0,2.0,3.0,40.0,12.0,40.0,1,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0
2010.0,119606.06532,12.0,20.0,2.0,1.0,3.0,74.0,10.0,42.0,0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,
2010.0,,,11.0,3.0,2.0,2.0,,,19.0,0,3.0,5.0,,2.0,3.0,,6.0,1.0,2.0
2010.0,23310.0,12.0,14.0,2.0,2.0,2.0,38.0,,53.0,1,1.0,3.0,4.0,,2.0,,1.0,1.0,
2010.0,23310.0,12.0,14.0,,2.0,3.0,31.0,16.0,39.0,0,1.0,3.0,5.0,2.0,2.0,,2.0,1.0,1.0
2010.0,23310.0,12.0,16.0,1.0,3.0,2.0,48.0,18.0,40.0,0,1.0,3.0,6.0,,3.0,3.0,1.0,1.0,3.0
2010.0,72520.0,12.0,12.0,2.0,2.0,2.0,64.0,12.0,44.0,0,1.0,1.0,2.0,,2.0,4.0,,1.0,
2010.0,72520.0,12.0,12.0,2.0,3.0,2.0,70.0,12.0,58.0,1,1.0,1.0,6.0,,3.0,3.0,1.0,1.0,3.0
2010.0,34965.0,12.0,14.0,,3.0,2.0,38.0,16.0,46.0,1,1.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,
2010.0,62160.0,12.0,12.0,1.0,3.0,2.0,53.0,,66.0,0,1.0,3.0,6.0,1.0,3.0,2.0,4.0,1.0,3.0
2010.0,119606.06532,12.0,18.0,1.0,2.0,3.0,64.0,12.0,48.0,0,1.0,5.0,3.0,,1.0,,1.0,1.0,
2010.0,42735.0,12.0,12.0,,2.0,2.0,34.0,12.0,88.0,1,1.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0
2010.0,34965.0,12.0,14.0,1.0,1.0,2.0,49.0,12.0,45.0,0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,
2010.0,,,12.0,1.0,2.0,1.0,29.0,12.0,38.0,1,1.0,5.0,4.0,,2.0,,3.0,1.0,
2010.0,5827.5,,14.0,,2.0,2.0,51.0,,22.0,0,2.0,5.0,4.0,2.0,1.0,,6.0,1.0,
2010.0,62160.0,12.0,16.0,1.0,2.0,2.0,46.0,14.0,23.0,1,1.0,5.0,3.0,2.0,2.0,,1.0,1.0,3.0
2010.0,51800.0,12.0,16.0,2.0,1.0,2.0,64.0,12.0,41.0,0,1.0,5.0,3.0,,2.0,1.0,1.0,1.0,
2010.0,8417.5,10.0,12.0,3.0,2.0,3.0,38.0,,23.0,0,1.0,5.0,4.0,2.0,2.0,,1.0,1.0,
2010.0,34965.0,12.0,12.0,2.0,2.0,2.0,33.0,,60.0,1,1.0,1.0,4.0,,2.0,2.0,1.0,1.0,3.0
2010.0,19425.0,12.0,6.0,,1.0,2.0,38.0,,80.0,0,1.0,1.0,5.0,1.0,2.0,3.0,5.0,1.0,
2010.0,19425.0,12.0,,3.0,2.0,2.0,21.0,,56.0,0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,3.0
2010.0,,,16.0,3.0,,2.0,47.0,,43.0,0,2.0,1.0,4.0,,3.0,1.0,1.0,1.0,
2010.0,,,16.0,,3.0,2.0,60.0,12.0,31.0,0,2.0,5.0,,2.0,3.0,1.0,1.0,1.0,3.0
2010.0,259.0,1.0,,3.0,3.0,2.0,28.0,,24.0,0,1.0,5.0,,2.0,3.0,2.0,1.0,1.0,
2010.0,72520.0,12.0,16.0,2.0,1.0,2.0,48.0,12.0,39.0,0,2.0,1.0,4.0,,3.0,3.0,1.0,1.0,3.0
2010.0,1036.0,2.0,12.0,,3.0,2.0,16.0,12.0,20.0,1,3.0,5.0,2.0,2.0,1.0,,6.0,1.0,
2010.0,42735.0,12.0,16.0,2.0,2.0,3.0,50.0,6.0,55.0,1,3.0,1.0,4.0,,2.0,1.0,1.0,1.0,3.0
2010.0,,,14.0,1.0,2.0,2.0,39.0,12.0,45.0,0,1.0,1.0,2.0,,3.0,3.0,1.0,1.0,
2010.0,,,12.0,2.0,2.0,2.0,45.0,,50.0,1,1.0,1.0,,1.0,3.0,2.0,1.0,1.0,
2010.0,42735.0,12.0,16.0,,1.0,3.0,74.0,7.0,69.0,0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,
2010.0,34965.0,12.0,16.0,3.0,2.0,3.0,,13.0,50.0,0,3.0,2.0,5.0,3.0,2.0,3.0,7.0,1.0,
2010.0,1036.0,2.0,11.0,3.0,2.0,2.0,37.0,6.0,31.0,1,3.0,1.0,4.0,,2.0,1.0,2.0,1.0,2.0
2010.0,28490.0,12.0,12.0,,1.0,2.0,29.0,,59.0,0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,
2010.0,34965.0,12.0,13.0,3.0,3.0,3.0,46.0,,50.0,0,1.0,5.0,3.0,,2.0,,1.0,1.0,
2010.0,119606.06532,12.0,16.0,,1.0,3.0,50.0,,51.0,1,1.0,1.0,4.0,2.0,1.0,,1.0,1.0,2.0
2010.0,34965.0,12.0,12.0,3.0,2.0,2.0,53.0,,68.0,0,1.0,2.0,4.0,,3.0,4.0,5.0,1.0,1.0
2010.0,72520.0,12.0,20.0,1.0,2.0,3.0,51.0,,61.0,1,1.0,4.0,1.0,,3.0,1.0,2.0,1.0,1.0
2010.0,,,16.0,1.0,1.0,3.0,18.0,18.0,50.0,0,1.0,1.0,4.0,,3.0,,2.0,1.0,
2010.0,119606.06532,12.0,16.0,1.0,2.0,3.0,47.0,12.0,51.0,0,1.0,1.0,4.0,,1.0,2.0,1.0,1.0,2.0
2010.0,119606.06532,12.0,18.0,1.0,1.0,2.0,64.0,10.0,43.0,0,1.0,1.0,2.0,,2.0,3.0,1.0,1.0,3.0
2010.0,42735.0,12.0,11.0,,2.0,3.0,,16.0,19.0,1,2.0,5.0,4.0,2.0,1.0,,6.0,1.0,3.0
2010.0,51800.0,12.0,16.0,1.0,3.0,3.0,,12.0,35.0,0,1.0,1.0,3.0,1.0,2.0,2.0,7.0,1.0,
2010.0,119606.06532,12.0,16.0,2.0,2.0,3.0,47.0,5.0,64.0,1,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0
2010.0,,,13.0,,3.0,3.0,31.0,12.0,44.0,0,1.0,3.0,6.0,2.0,3.0,3.0,2.0,1.0,3.0
2010.0,51800.0,12.0,19.0,1.0,1.0,3.0,64.0,20.0,40.0,1,1.0,5.0,5.0,2.0,1.0,,1.0,1.0,1.0
2010.0,51800.0,12.0,16.0,1.0,2.0,2.0,61.0,,59.0,1,1.0,5.0,6.0,,2.0,,4.0,1.0,
2010.0,34965.0,12.0,16.0,,1.0,2.0,48.0,18.0,36.0,1,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0
2010.0,,,13.0,1.0,1.0,3.0,46.0,16.0,65.0,0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,
2010.0,,,20.0,,2.0,3.0,44.0,16.0,46.0,0,3.0,5.0,6.0,1.0,1.0,,1.0,1.0,
2010.0,8417.5,10.0,12.0,2.0,1.0,2.0,33.0,6.0,33.0,0,3.0,1.0,4.0,,2.0,2.0,2.0,4.0,
2010.0,12302.5,11.0,,,2.0,3.0,,,21.0,0,3.0,5.0,3.0,2.0,3.0,1.0,7.0,4.0,2.0
2010.0,34965.0,12.0,13.0,,1.0,3.0,36.0,12.0,24.0,0,1.0,5.0,7.0,2.0,1.0,,1.0,4.0,
2010.0,28490.0,12.0,11.0,2.0,2.0,2.0,39.0,,36.0,1,3.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0
2010.0,11007.5,11.0,15.0,3.0,1.0,2.0,,,27.0,0,3.0,3.0,5.0,,2.0,1.0,6.0,4.0,
2010.0,51800.0,12.0,12.0,2.0,1.0,2.0,43.0,16.0,32.0,0,1.0,1.0,3.0,1.0,2.0,,1.0,4.0,
2010.0,,,14.0,2.0,2.0,3.0,49.0,14.0,68.0,1,1.0,3.0,5.0,,3.0,1.0,2.0,4.0,2.0
2010.0,34965.0,12.0,13.0,2.0,2.0,2.0,50.0,,63.0,1,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0
2010.0,,,18.0,,2.0,4.0,61.0,15.0,80.0,0,1.0,1.0,3.0,2.0,2.0,3.0,5.0,4.0,
2010.0,51800.0,12.0,18.0,1.0,1.0,3.0,72.0,12.0,72.0,1,1.0,1.0,4.0,,1.0,1.0,1.0,4.0,2.0
2010.0,14245.0,12.0,10.0,,1.0,2.0,44.0,12.0,24.0,1,3.0,1.0,6.0,1.0,2.0,2.0,2.0,4.0,1.0
2010.0,,,16.0,1.0,2.0,2.0,,16.0,37.0,0,1.0,1.0,3.0,2.0,2.0,3.0,7.0,4.0,
2010.0,19425.0,12.0,,2.0,3.0,3.0,49.0,16.0,45.0,1,1.0,1.0,4.0,,3.0,2.0,1.0,4.0,
2010.0,19425.0,12.0,,,3.0,2.0,25.0,6.0,52.0,1,3.0,4.0,6.0,2.0,2.0,5.0,1.0,4.0,
2010.0,119606.06532,12.0,16.0,3.0,3.0,2.0,50.0,20.0,49.0,1,1.0,1.0,4.0,2.0,3.0,3.0,1.0,4.0,
2010.0,28490.0,12.0,3.0,,2.0,2.0,50.0,,42.0,1,1.0,1.0,5.0,2.0,2.0,3.0,1.0,4.0,
2010.0,11007.5,11.0,11.0,,2.0,1.0,35.0,,42.0,1,1.0,4.0,4.0,3.0,3.0,1.0,1.0,4.0,2.0
2010.0,42735.0,12.0,12.0,1.0,2.0,2.0,36.0,,37.0,0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,4.0,
2010.0,51800.0,12.0,12.0,1.0,2.0,2.0,35.0,,35.0,0,1.0,1.0,1.0,,2.0,2.0,2.0,4.0,2.0
2010.0,119606.06532,12.0,14.0,2.0,2.0,3.0,60.0,12.0,51.0,1,1.0,1.0,6.0,2.0,2.0,3.0,1.0,4.0,
2010.0,42735.0,12.0,16.0,3.0,2.0,3.0,48.0,,66.0,1,3.0,1.0,5.0,,2.0,2.0,2.0,4.0,2.0
2010.0,62160.0,12.0,15.0,2.0,1.0,3.0,63.0,14.0,28.0,1,1.0,1.0,6.0,,2.0,1.0,1.0,4.0,
2010.0,42735.0,12.0,14.0,,2.0,,37.0,12.0,39.0,0,1.0,1.0,4.0,2.0,2.0,2.0,7.0,4.0,
2010.0,119606.06532,12.0,17.0,1.0,1.0,3.0,45.0,12.0,47.0,1,1.0,1.0,1.0,1.0,3.0,,1.0,4.0,
2010.0,119606.06532,12.0,16.0,2.0,2.0,3.0,63.0,18.0,48.0,1,1.0,1.0,5.0,,2.0,4.0,1.0,4.0,3.0
2010.0,119606.06532,12.0,20.0,,2.0,3.0,72.0,14.0,49.0,0,3.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,
2010.0,62160.0,12.0,12.0,,2.0,3.0,,12.0,20.0,1,1.0,5.0,1.0,2.0,2.0,,6.0,4.0,2.0
2010.0,8417.5,10.0,2.0,,2.0,3.0,48.0,3.0,70.0,0,3.0,1.0,4.0,2.0,3.0,5.0,5.0,4.0,
2010.0,,,6.0,,1.0,1.0,37.0,,42.0,1,1.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0
2010.0,5827.5,,,2.0,2.0,2.0,37.0,1.0,35.0,1,1.0,5.0,7.0,,2.0,,2.0,4.0,1.0
2010.0,16835.0,12.0,12.0,3.0,2.0,1.0,35.0,,40.0,0,1.0,5.0,4.0,1.0,3.0,,3.0,4.0,
2010.0,119606.06532,12.0,20.0,3.0,3.0,2.0,39.0,12.0,68.0,1,3.0,1.0,3.0,,2.0,2.0,2.0,4.0,
2010.0,,,16.0,2.0,2.0,2.0,63.0,12.0,34.0,1,3.0,1.0,5.0,2.0,3.0,,1.0,4.0,
2010.0,42735.0,12.0,13.0,2.0,2.0,2.0,45.0,,30.0,1,3.0,1.0,2.0,,1.0,5.0,1.0,4.0,3.0
2010.0,16835.0,12.0,,,2.0,2.0,33.0,,25.0,1,3.0,5.0,4.0,2.0,2.0,,1.0,4.0,3.0
2010.0,23310.0,12.0,6.0,2.0,2.0,2.0,44.0,7.0,36.0,1,1.0,1.0,2.0,,2.0,2.0,1.0,4.0,3.0
2010.0,28490.0,12.0,12.0,,2.0,2.0,59.0,12.0,54.0,0,1.0,3.0,5.0,2.0,2.0,,2.0,4.0,
2010.0,,,15.0,,2.0,2.0,,,58.0,1,1.0,1.0,6.0,2.0,2.0,2.0,1.0,4.0,
2010.0,12302.5,11.0,12.0,2.0,3.0,2.0,31.0,,55.0,0,2.0,5.0,,,3.0,,1.0,4.0,
2010.0,7122.5,,,3.0,2.0,2.0,,,34.0,0,3.0,1.0,3.0,2.0,2.0,5.0,7.0,4.0,
2010.0,28490.0,12.0,16.0,3.0,2.0,2.0,60.0,14.0,29.0,1,2.0,5.0,6.0,,2.0,1.0,1.0,4.0,1.0
2010.0,7122.5,,14.0,,3.0,2.0,33.0,14.0,20.0,0,3.0,5.0,5.0,2.0,2.0,,2.0,4.0,
2010.0,23310.0,12.0,12.0,1.0,1.0,2.0,47.0,13.0,41.0,0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,4.0,3.0
2010.0,51800.0,12.0,19.0,,2.0,3.0,46.0,16.0,40.0,0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0
2010.0,42735.0,12.0,16.0,2.0,2.0,4.0,63.0,14.0,71.0,1,1.0,5.0,6.0,1.0,1.0,,1.0,4.0,
2010.0,12302.5,11.0,14.0,,2.0,2.0,38.0,5.0,23.0,1,1.0,5.0,2.0,2.0,3.0,,2.0,4.0,
2010.0,8417.5,1.0,14.0,2.0,3.0,1.0,46.0,18.0,49.0,1,1.0,5.0,3.0,1.0,3.0,,2.0,4.0,
2010.0,3885.0,7.0,15.0,2.0,1.0,2.0,35.0,12.0,44.0,1,1.0,1.0,4.0,1.0,3.0,3.0,4.0,4.0,1.0
2010.0,23310.0,12.0,13.0,,2.0,1.0,,20.0,20.0,0,1.0,5.0,5.0,2.0,3.0,,6.0,4.0,1.0
2010.0,3367.0,2.0,17.0,3.0,2.0,2.0,49.0,13.0,24.0,1,1.0,5.0,3.0,,2.0,,7.0,4.0,1.0
2010.0,42735.0,12.0,12.0,,1.0,3.0,31.0,18.0,29.0,1,1.0,5.0,3.0,1.0,1.0,,1.0,4.0,
2010.0,119606.06532,12.0,20.0,1.0,1.0,3.0,39.0,10.0,56.0,0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,
2010.0,28490.0,12.0,12.0,,3.0,1.0,37.0,12.0,24.0,1,1.0,5.0,4.0,2.0,3.0,,2.0,4.0,
2010.0,28490.0,12.0,14.0,2.0,2.0,3.0,33.0,12.0,60.0,1,1.0,1.0,3.0,1.0,3.0,2.0,1.0,4.0,3.0
2010.0,,,16.0,2.0,1.0,3.0,31.0,,52.0,1,1.0,1.0,6.0,,2.0,3.0,1.0,4.0,
2010.0,28490.0,12.0,12.0,,3.0,3.0,46.0,6.0,51.0,0,1.0,1.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0
2010.0,16835.0,12.0,14.0,1.0,2.0,2.0,32.0,12.0,64.0,0,1.0,5.0,4.0,,2.0,,5.0,4.0,2.0
2010.0,,,17.0,,2.0,3.0,31.0,16.0,23.0,0,1.0,5.0,2.0,1.0,2.0,,2.0,4.0,
2010.0,62160.0,12.0,12.0,2.0,1.0,2.0,31.0,12.0,46.0,1,1.0,1.0,3.0,2.0,3.0,2.0,1.0,4.0,
2010.0,51800.0,12.0,17.0,2.0,1.0,3.0,58.0,18.0,34.0,1,1.0,1.0,2.0,,2.0,,1.0,4.0,2.0
2010.0,8417.5,10.0,16.0,,2.0,3.0,53.0,14.0,29.0,0,3.0,5.0,4.0,1.0,2.0,,7.0,4.0,1.0
2010.0,34965.0,12.0,19.0,2.0,2.0,3.0,59.0,,28.0,0,1.0,5.0,2.0,,1.0,,1.0,4.0,2.0
2010.0,72520.0,12.0,15.0,,2.0,3.0,37.0,,39.0,0,1.0,5.0,6.0,1.0,2.0,,2.0,4.0,
2010.0,42735.0,12.0,20.0,2.0,2.0,3.0,59.0,,33.0,1,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0
2010.0,12302.5,11.0,11.0,,3.0,2.0,48.0,,24.0,0,2.0,5.0,1.0,2.0,3.0,3.0,1.0,4.0,
2010.0,7122.5,,12.0,4.0,2.0,2.0,46.0,11.0,34.0,0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,4.0,3.0
2010.0,7122.5,,16.0,1.0,1.0,2.0,40.0,13.0,24.0,1,1.0,5.0,2.0,,2.0,,1.0,4.0,
2010.0,42735.0,12.0,16.0,1.0,1.0,3.0,32.0,16.0,30.0,1,1.0,1.0,4.0,2.0,2.0,,1.0,4.0,
2010.0,14245.0,12.0,16.0,,2.0,3.0,40.0,12.0,25.0,1,1.0,5.0,1.0,1.0,2.0,,1.0,4.0,
2010.0,51800.0,12.0,16.0,,2.0,3.0,45.0,20.0,41.0,0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,
2010.0,51800.0,12.0,15.0,,2.0,3.0,61.0,16.0,37.0,1,3.0,1.0,4.0,2.0,1.0,3.0,1.0,4.0,3.0
2010.0,51800.0,12.0,16.0,1.0,2.0,3.0,53.0,18.0,48.0,0,1.0,2.0,2.0,2.0,1.0,,1.0,4.0,
2010.0,4662.0,,13.0,1.0,2.0,2.0,39.0,13.0,28.0,1,1.0,5.0,1.0,,2.0,,1.0,4.0,3.0
